,GOBP_RIBOSOME_BIOGENESIS,GeneID
1,AATF,AMEX60DD054121
2,ABCE1,AMEX60DD044967
3,ABT1,AMEX60DD021071
4,BMS1,AMEX60DD052245
5,BOP1,AMEX60DD040817
6,BRIX1,AMEX60DD041878
7,BUD23,AMEX60DD054244
8,BYSL,AMEX60DD009159
9,C1QBP,AMEX60DD054061
10,CHD7,AMEX60DD039791
11,CUL4A,AMEX60DD048279
12,CUL4B,AMEX60DD004930
13,DCAF13,AMEX60DD040255
14,DDX10,AMEX60DD049410
15,DDX17,AMEX60DD029283
16,DDX18,AMEX60DD056013
17,DDX21,AMEX60DD051799
18,DDX27,AMEX60DD027468
19,DDX28,AMEX60DD017779
20,DDX31,AMEX60DD050433
21,DDX3X,AMEX60DD047626
22,DDX47,AMEX60DD030512
23,DDX49,AMEX60DD013998
25,DDX52,AMEX60DD054109
26,DDX54,AMEX60DD001017
28,DHX29,AMEX60DD042120
29,DHX30,AMEX60DD026071
30,DHX37,AMEX60DD000051
31,DIMT1,AMEX60DD042206
32,DIS3,AMEX60DD048846
33,DKC1,AMEX60DD022861
34,DROSHA,AMEX60DD038554
35,EBNA1BP2,AMEX60DD020076
36,EFL1,AMEX60DD003560
37,EIF2A,AMEX60DD030020
38,EIF4A3,AMEX60DD035060
39,EIF6,AMEX60DD028517
40,EMG1,AMEX60DD026765
42,ERAL1,AMEX60DD054838
43,ERCC2,AMEX60DD024861
44,ERI1,AMEX60DD043656
45,ERI2,AMEX60DD021250
46,ERI3,AMEX60DD019855
47,ESF1,AMEX60DD035803
48,EXOSC1,AMEX60DD051137
49,EXOSC10,AMEX60DD051137
50,EXOSC2,AMEX60DD050370
51,EXOSC3,AMEX60DD043821
52,EXOSC4,AMEX60DD040735
54,EXOSC6,AMEX60DD015549
55,EXOSC7,AMEX60DD022068
56,EXOSC8,AMEX60DD049182
57,EXOSC9,AMEX60DD044900
58,FASTKD2,AMEX60DD055062
59,FBL,AMEX60DD016169
61,FCF1,AMEX60DD011452
62,FDXACB1,AMEX60DD053760
63,FRG1,AMEX60DD045449
64,FTSJ3,AMEX60DD007377
65,GAR1,AMEX60DD044308
66,GEMIN4,AMEX60DD054708
67,GLUL,AMEX60DD050853
