"symbol","gene_id"
"AMEX60DD003449","AMEX60DD003449"
"AMEX60DD005685","AMEX60DD005685"
"AMEX60DD009250","AMEX60DD009250"
"AMEX60DD022557","AMEX60DD022557"
"HNRNPUL2","AMEX60DD025407"
"AMEX60DD036641","AMEX60DD036641"
"AMEX60DD036642","AMEX60DD036642"
"AMEX60DD036643","AMEX60DD036643"
"AMEX60DD036644","AMEX60DD036644"
"AMEX60DD050293","AMEX60DD050293"
"LOC115072934","AMEX60DD000376"
"KDM2B","AMEX60DD000643"
"RPL6","AMEX60DD000708"
"FOXN4","AMEX60DD000758"
"LOC112104526","AMEX60DD000902"
"ASCC2","AMEX60DD000965"
"LOC102935661","AMEX60DD001103"
"SUDS3","AMEX60DD001128"
"KANSL3","AMEX60DD001224"
"NUDCD3","AMEX60DD001311"
"LOC111571239","AMEX60DD001331"
"LOC115469338","AMEX60DD001407"
"PCNA.L","AMEX60DD001418"
"EIF2B5","AMEX60DD001487"
"AP2M1","AMEX60DD001495"
"ATP11B","AMEX60DD001648"
"EIF4A2","AMEX60DD001667"
"KNG1","AMEX60DD001672"
"DR999_PMT18775","AMEX60DD001681"
"MYNN","AMEX60DD001746"
"OTOL1","AMEX60DD001798"
"PFN2","AMEX60DD001932"
"DNER","AMEX60DD002010"
"MFF","AMEX60DD002150"
"ATG4B","AMEX60DD002224"
"TF.A","AMEX60DD002298"
"LOC115478342","AMEX60DD002331"
"CLDN18.S","AMEX60DD002375"
"NCK1","AMEX60DD002385"
"ERLIN2","AMEX60DD002462"
"LOC102077236","AMEX60DD002639"
"EOD39_9437","AMEX60DD002643"
"LOC115657929","AMEX60DD002668"
"XPO7","AMEX60DD002806"
"AMEX60DD002813","AMEX60DD002813"
"ATP6V1B2","AMEX60DD002837"
"GPAT4","AMEX60DD002859"
"SLC4A5","AMEX60DD002924"
"PCYT1A","AMEX60DD003149"
"SLC12A1","AMEX60DD003743"
"LRRC49","AMEX60DD003784"
"LOC115075475","AMEX60DD003853"
"SIN3A","AMEX60DD003945"
"BNIP2","AMEX60DD004053"
"SLTM","AMEX60DD004090"
"FANCI","AMEX60DD004156"
"RHCG","AMEX60DD004168"
"EIF3J","AMEX60DD004259"
"TNNT3.S","AMEX60DD004521"
"PKP3","AMEX60DD004554"
"PSMD13","AMEX60DD004577"
"SDHAF2","AMEX60DD004615"
"LOC115468955","AMEX60DD004647"
"SAAL1","AMEX60DD004670"
"NUCB2","AMEX60DD004706"
"AMEX60DD004787","AMEX60DD004787"
"EIF4G2","AMEX60DD004812"
"AMEX60DD005055","AMEX60DD005055"
"LOC115079401","AMEX60DD005207"
"LOC115079457","AMEX60DD005223"
"ATG13","AMEX60DD005281"
"MTCH2","AMEX60DD005337"
"AMEX60DD005415","AMEX60DD005415"
"LOC115479691","AMEX60DD005433"
"RPS6KA1","AMEX60DD005642"
"LOC108709478","AMEX60DD005679"
"MAN1C1","AMEX60DD005765"
"SRRM1","AMEX60DD005782"
"GRHL3","AMEX60DD005797"
"MRPS15","AMEX60DD005901"
"AMEX60DD005984","AMEX60DD005984"
"DUSP6","AMEX60DD006352"
"LOC115477400","AMEX60DD006442"
"LOC115477877","AMEX60DD006473"
"ATXN10","AMEX60DD006491"
"FBLN1","AMEX60DD006493"
"POLR3B","AMEX60DD006534"
